Iter^{-1/2}, Pi
0.0349428, 3.93651
0.0349215, 3.93171
0.0349002, 3.93666
0.034879, 3.94161
0.0348578, 3.93682
0.0348367, 3.94175
0.0348155, 3.94667
0.0347945, 3.95157
0.0347734, 3.9468
0.0347524, 3.94203
0.0347314, 3.94692
0.0347105, 3.95181
0.0346896, 3.95668
0.0346688, 3.95192
0.0346479, 3.95678
0.0346272, 3.96163
0.0346064, 3.95689
0.0345857, 3.95215
0.0345651, 3.95699
0.0345444, 3.95227
0.0345238, 3.95709
0.0345033, 3.95238
0.0344828, 3.94768
0.0344623, 3.95249
0.0344418, 3.94781
0.0344214, 3.95261
0.034401, 3.94793
0.0343807, 3.94326
0.0343604, 3.94805
0.0343401, 3.95283
0.0343199, 3.94817
0.0342997, 3.94353
0.0342796, 3.9389
0.0342594, 3.94366
0.0342393, 3.93904
0.0342193, 3.94379
0.0341993, 3.94854
0.0341793, 3.95327
0.0341593, 3.95799
0.0341394, 3.9627
0.0341196, 3.95809
0.0340997, 3.95349
0.0340799, 3.95819
0.0340601, 3.96288
0.0340404, 3.96756
0.0340207, 3.96296
0.034001, 3.95838
0.0339814, 3.95381
0.0339618, 3.95848
0.0339422, 3.96313
0.0339227, 3.95857
0.0339032, 3.95402
0.0338837, 3.94948
0.0338643, 3.94495
0.0338449, 3.94044
0.0338255, 3.93593
0.0338062, 3.94057
0.0337869, 3.94521
0.0337676, 3.94983
0.0337484, 3.94533
0.0337292, 3.94994
0.03371, 3.94545
0.0336909, 3.94098
0.0336718, 3.94558
0.0336527, 3.95017
0.0336336, 3.9457
0.0336146, 3.95028
0.0335957, 3.94582
0.0335767, 3.95039
0.0335578, 3.95495
0.0335389, 3.95951
0.0335201, 3.96404
0.0335013, 3.96857
0.0334825, 3.96413
0.0334637, 3.96865
0.033445, 3.97315
0.0334263, 3.96872
0.0334077, 3.96429
0.033389, 3.96878
0.0333704, 3.96437
0.0333519, 3.96885
0.0333333, 3.97333
0.0333148, 3.9778
0.0332964, 3.98226
0.0332779, 3.97785
0.0332595, 3.9823
0.0332411, 3.98674
0.0332228, 3.98234
0.0332045, 3.98677
0.0331862, 3.99119
0.0331679, 3.9956
0.0331497, 3.99121
0.0331315, 3.98683
0.0331133, 3.99123
0.0330952, 3.98686
0.0330771, 3.99125
0.033059, 3.99563
0.0330409, 4
0.0330229, 4.00436
0.0330049, 4.00871
0.032987, 4.00435
0.032969, 4
0.0329511, 3.99566
0.0329332, 4
0.0329154, 4.00433
0.0328976, 4.00866
0.0328798, 4.01297
0.032862, 4.00864
0.0328443, 4.01294
0.0328266, 4.01724
0.0328089, 4.02153
0.0327913, 4.02581
0.0327737, 4.03008
0.0327561, 4.02575
0.0327385, 4.03001
0.032721, 4.0257
0.0327035, 4.02139
0.032686, 4.01709
0.0326686, 4.02134
0.0326512, 4.01706
0.0326338, 4.01278
0.0326164, 4.00851
0.0325991, 4.00425
0.0325818, 4.00849
0.0325645, 4.01273
0.0325472, 4.01695
0.03253, 4.0127
0.0325128, 4.00846
0.0324956, 4.00422
0.0324785, 4
0.0324614, 4.00421
0.0324443, 4
0.0324272, 4.00421
0.0324102, 4
0.0323932, 4.0042
0.0323762, 4
0.0323592, 4.00419
0.0323423, 4.00837
0.0323254, 4.00418
0.0323085, 4
0.0322917, 3.99583
0.0322749, 3.99167
0.0322581, 3.99584
0.0322413, 3.99168
0.0322245, 3.99585
0.0322078, 3.9917
0.0321911, 3.98756
0.0321745, 3.98344
0.0321578, 3.97932
0.0321412, 3.97521
0.0321246, 3.9711
0.0321081, 3.96701
0.0320915, 3.96292
0.032075, 3.96708
0.0320585, 3.97122
0.0320421, 3.96715
0.0320256, 3.97128
0.0320092, 3.97541
0.0319928, 3.97953
0.0319765, 3.97546
0.0319601, 3.9714
0.0319438, 3.97551
0.0319275, 3.97961
0.0319113, 3.98371
0.031895, 3.98779
0.0318788, 3.99187
0.0318626, 3.99594
0.0318465, 4
0.0318304, 3.99595
0.0318142, 4
0.0317982, 4.00404
0.0317821, 4.00808
0.031766, 4.00404
0.03175, 4.00806
0.031734, 4.01208
0.0317181, 4.00805
0.0317021, 4.00402
0.0316862, 4.00803
0.0316703, 4.00401
0.0316544, 4.00802
0.0316386, 4.004
0.0316228, 4.008
0.031607, 4.01199
0.0315912, 4.00798
0.0315754, 4.00399
0.0315597, 4
0.031544, 3.99602
0.0315283, 4
0.0315127, 4.00397
0.031497, 4
0.0314814, 3.99604
0.0314658, 4
0.0314503, 4.00396
0.0314347, 4.00791
0.0314192, 4.00395
0.0314037, 4.00789
0.0313882, 4.01182
0.0313728, 4.00787
0.0313574, 4.00393
0.031342, 4
0.0313266, 4.00393
0.0313112, 4.00784
0.0312959, 4.00392
0.0312806, 4
0.0312653, 3.99609
0.03125, 4
0.0312348, 4.0039
0.0312195, 4.0078
0.0312043, 4.01168
0.0311891, 4.01556
0.031174, 4.01944
0.0311588, 4.01553
0.0311437, 4.01164
0.0311286, 4.00775
0.0311136, 4.00387
0.0310985, 4
0.0310835, 4.00386
0.0310685, 4
0.0310535, 4.00386
0.0310385, 4
0.0310236, 4.00385
0.0310087, 4
0.0309938, 3.99616
0.0309789, 3.99232
0.0309641, 3.98849
0.0309492, 3.98467
0.0309344, 3.98852
0.0309196, 3.9847
