Iter^{-1/2}, Pi
0.0373979, 0.798601
0.0373718, 0.797486
0.0373457, 0.797768
0.0373197, 0.79805
0.0372937, 0.798331
0.0372678, 0.798611
0.0372419, 0.797503
0.0372161, 0.796399
0.0371904, 0.79668
0.0371647, 0.796961
0.0371391, 0.797241
0.0371135, 0.797521
0.0370879, 0.797799
0.0370625, 0.798077
0.037037, 0.796982
0.0370117, 0.79726
0.0369863, 0.797538
0.0369611, 0.797814
0.0369358, 0.79809
0.0369107, 0.798365
0.0368856, 0.798639
0.0368605, 0.797554
0.0368355, 0.797829
0.0368105, 0.798103
0.0367856, 0.797023
0.0367607, 0.797297
0.0367359, 0.797571
0.0367112, 0.796496
0.0366864, 0.795424
0.0366618, 0.795699
0.0366372, 0.795973
0.0366126, 0.796247
0.0365881, 0.796519
0.0365636, 0.795455
0.0365392, 0.795728
0.0365148, 0.796
0.0364905, 0.796272
0.0364662, 0.796543
0.036442, 0.796813
0.0364179, 0.797082
0.0363937, 0.797351
0.0363696, 0.797619
0.0363456, 0.797886
0.0363216, 0.796834
0.0362977, 0.797101
0.0362738, 0.797368
0.03625, 0.797635
0.0362262, 0.796588
0.0362024, 0.796855
0.0361787, 0.795812
0.0361551, 0.794771
0.0361315, 0.795039
0.0361079, 0.795306
0.0360844, 0.795573
0.0360609, 0.795839
0.0360375, 0.796104
0.0360141, 0.796368
0.0359908, 0.796632
0.0359675, 0.796895
0.0359443, 0.797158
0.0359211, 0.797419
0.0358979, 0.796392
0.0358748, 0.796654
0.0358517, 0.796915
0.0358287, 0.795892
0.0358057, 0.796154
0.0357828, 0.796415
0.0357599, 0.796675
0.0357371, 0.796935
0.0357143, 0.797194
0.0356915, 0.796178
0.0356688, 0.796438
0.0356462, 0.796696
0.0356235, 0.796954
0.0356009, 0.797212
0.0355784, 0.797468
0.0355559, 0.797724
0.0355335, 0.79798
0.035511, 0.798235
0.0354887, 0.798489
0.0354663, 0.797484
0.0354441, 0.797739
0.0354218, 0.797992
0.0353996, 0.798246
0.0353775, 0.797247
0.0353553, 0.7975
0.0353333, 0.797753
0.0353112, 0.798005
0.0352892, 0.798257
0.0352673, 0.798507
0.0352454, 0.798758
0.0352235, 0.799007
0.0352017, 0.799257
0.0351799, 0.798267
0.0351581, 0.798517
0.0351364, 0.797531
0.0351147, 0.797781
0.0350931, 0.79803
0.0350715, 0.798278
0.03505, 0.798526
0.0350285, 0.798773
0.035007, 0.797794
0.0349856, 0.798042
0.0349642, 0.798289
0.0349428, 0.797314
0.0349215, 0.797561
0.0349002, 0.79659
0.034879, 0.796837
0.0348578, 0.797084
0.0348367, 0.796117
0.0348155, 0.796364
0.0347945, 0.79661
0.0347734, 0.796856
0.0347524, 0.795894
0.0347314, 0.79614
0.0347105, 0.796386
0.0346896, 0.796631
0.0346688, 0.795673
0.0346479, 0.795918
0.0346272, 0.794964
0.0346064, 0.79521
0.0345857, 0.795455
0.0345651, 0.795699
0.0345444, 0.794749
0.0345238, 0.794994
0.0345033, 0.795238
0.0344828, 0.795482
0.0344623, 0.795724
0.0344418, 0.795967
0.0344214, 0.796209
0.034401, 0.79645
0.0343807, 0.79669
0.0343604, 0.79693
0.0343401, 0.79717
0.0343199, 0.797409
0.0342997, 0.797647
0.0342796, 0.797885
0.0342594, 0.798122
0.0342393, 0.798359
0.0342193, 0.797424
0.0341993, 0.797661
0.0341793, 0.797897
0.0341593, 0.798133
0.0341394, 0.798368
0.0341196, 0.797439
0.0340997, 0.796512
0.0340799, 0.795587
0.0340601, 0.795824
0.0340404, 0.794902
0.0340207, 0.793981
0.034001, 0.79422
0.0339814, 0.793303
0.0339618, 0.793541
0.0339422, 0.793779
0.0339227, 0.792865
0.0339032, 0.793103
0.0338837, 0.792193
0.0338643, 0.792431
0.0338449, 0.792669
0.0338255, 0.792906
0.0338062, 0.793143
0.0337869, 0.793379
0.0337676, 0.793615
0.0337484, 0.79385
0.0337292, 0.794084
0.03371, 0.794318
0.0336909, 0.794552
0.0336718, 0.794785
0.0336527, 0.793884
0.0336336, 0.794118
0.0336146, 0.79322
0.0335957, 0.793454
0.0335767, 0.793687
0.0335578, 0.793919
0.0335389, 0.794151
0.0335201, 0.794382
0.0335013, 0.794613
0.0334825, 0.794843
0.0334637, 0.795073
0.033445, 0.794183
0.0334263, 0.794413
0.0334077, 0.793527
0.033389, 0.792642
0.0333704, 0.791759
0.0333519, 0.791991
0.0333333, 0.791111
0.0333148, 0.790233
0.0332964, 0.789357
0.0332779, 0.78959
0.0332595, 0.788717
0.0332411, 0.78895
0.0332228, 0.789183
0.0332045, 0.789416
0.0331862, 0.789648
0.0331679, 0.789879
0.0331497, 0.79011
0.0331315, 0.789243
0.0331133, 0.789474
0.0330952, 0.789704
0.0330771, 0.789934
0.033059, 0.790164
0.0330409, 0.790393
0.0330229, 0.790622
0.0330049, 0.79085
0.032987, 0.789989
0.032969, 0.790217
0.0329511, 0.789359
0.0329332, 0.788503
0.0329154, 0.788732
0.0328976, 0.788961
0.0328798, 0.789189
0.032862, 0.789417
0.0328443, 0.789644
0.0328266, 0.789871
0.0328089, 0.78902
0.0327913, 0.788172
0.0327737, 0.7884
0.0327561, 0.788627
0.0327385, 0.788853
0.032721, 0.788009
0.0327035, 0.787166
0.032686, 0.786325
0.0326686, 0.786553
0.0326512, 0.785714
0.0326338, 0.784878
0.0326164, 0.785106
0.0325991, 0.785335
0.0325818, 0.785563
0.0325645, 0.78579
0.0325472, 0.786017
0.03253, 0.786243
0.0325128, 0.786469
0.0324956, 0.786695
0.0324785, 0.78692
0.0324614, 0.787144
0.0324443, 0.787368
0.0324272, 0.787592
0.0324102, 0.787815
0.0323932, 0.788038
0.0323762, 0.78826
0.0323592, 0.788482
0.0323423, 0.788703
0.0323254, 0.788924
0.0323085, 0.789144
0.0322917, 0.788321
0.0322749, 0.788542
0.0322581, 0.787721
0.0322413, 0.786902
0.0322245, 0.787124
0.0322078, 0.787344
0.0321911, 0.787565
0.0321745, 0.787785
0.0321578, 0.788004
0.0321412, 0.78719
0.0321246, 0.786378
0.0321081, 0.786598
0.0320915, 0.786818
0.032075, 0.787037
0.0320585, 0.787256
0.0320421, 0.787474
0.0320256, 0.787692
0.0320092, 0.78791
0.0319928, 0.788127
0.0319765, 0.788344
0.0319601, 0.787538
0.0319438, 0.787755
0.0319275, 0.787971
0.0319113, 0.788187
0.031895, 0.788403
0.0318788, 0.788618
0.0318626, 0.788832
0.0318465, 0.788032
0.0318304, 0.788247
0.0318142, 0.788462
0.0317982, 0.788675
0.0317821, 0.788889
0.031766, 0.789102
0.03175, 0.789315
0.031734, 0.789527
0.0317181, 0.789738
0.0317021, 0.78995
0.0316862, 0.790161
0.0316703, 0.790371
0.0316544, 0.790581
0.0316386, 0.790791
0.0316228, 0.791
0.031607, 0.791209
0.0315912, 0.791417
0.0315754, 0.790628
0.0315597, 0.790837
0.031544, 0.791045
0.0315283, 0.791252
0.0315127, 0.79146
0.031497, 0.790675
0.0314814, 0.789891
0.0314658, 0.790099
0.0314503, 0.790307
0.0314347, 0.790514
0.0314192, 0.790721
0.0314037, 0.790927
0.0313882, 0.791133
0.0313728, 0.791339
0.0313574, 0.791544
0.031342, 0.790766
0.0313266, 0.78999
0.0313112, 0.790196
0.0312959, 0.790402
0.0312806, 0.790607
0.0312653, 0.790811
0.03125, 0.791016
0.0312348, 0.79122
0.0312195, 0.791423
0.0312043, 0.791626
0.0311891, 0.791829
0.031174, 0.792031
0.0311588, 0.792233
0.0311437, 0.792435
0.0311286, 0.792636
0.0311136, 0.792836
0.0310985, 0.793037
0.0310835, 0.792271
0.0310685, 0.791506
0.0310535, 0.791707
0.0310385, 0.790944
0.0310236, 0.791145
0.0310087, 0.791346
0.0309938, 0.791547
0.0309789, 0.791747
0.0309641, 0.790988
0.0309492, 0.791188
0.0309344, 0.791388
0.0309196, 0.791587
0.0309049, 0.790831
0.0308901, 0.791031
0.0308754, 0.79123
0.0308607, 0.791429
0.030846, 0.791627
0.0308313, 0.791825
0.0308167, 0.792023
0.0308021, 0.79222
0.0307875, 0.792417
0.0307729, 0.792614
0.0307583, 0.79281
0.0307438, 0.793006
0.0307293, 0.793201
0.0307148, 0.792453
0.0307003, 0.792648
0.0306858, 0.792844
0.0306714, 0.793039
0.030657, 0.793233
0.0306426, 0.793427
0.0306282, 0.793621
0.0306138, 0.793814
0.0305995, 0.793071
0.0305852, 0.793265
0.0305709, 0.793458
0.0305566, 0.793651
0.0305424, 0.79291
0.0305281, 0.793103
0.0305139, 0.792365
0.0304997, 0.792558
0.0304855, 0.792751
0.0304714, 0.792943
0.0304572, 0.793135
0.0304431, 0.793327
0.030429, 0.792593
0.030415, 0.792784
0.0304009, 0.792052
0.0303869, 0.792244
0.0303728, 0.792435
0.0303588, 0.792627
0.0303449, 0.791897
0.0303309, 0.791168
0.030317, 0.790441
0.030303, 0.790634
0.0302891, 0.790826
0.0302752, 0.791017
0.0302614, 0.791209
0.0302475, 0.7914
0.0302337, 0.79159
0.0302199, 0.791781
0.0302061, 0.791971
0.0301923, 0.79216
0.0301786, 0.79235
0.0301648, 0.792539
0.0301511, 0.792727
0.0301374, 0.792007
0.0301238, 0.791289
0.0301101, 0.791478
0.0300965, 0.791667
0.0300828, 0.791855
0.0300692, 0.792043
0.0300557, 0.792231
0.0300421, 0.792419
0.0300285, 0.792606
0.030015, 0.792793
0.0300015, 0.792079
0.029988, 0.792266
0.0299745, 0.791554
0.0299611, 0.790844
0.0299476, 0.791031
0.0299342, 0.791219
0.0299208, 0.791406
0.0299074, 0.791592
0.0298941, 0.791778
0.0298807, 0.791964
0.0298674, 0.791258
0.0298541, 0.790553
0.0298408, 0.790739
0.0298275, 0.790036
0.0298142, 0.790222
0.029801, 0.78952
0.0297878, 0.789707
0.0297746, 0.789894
0.0297614, 0.79008
0.0297482, 0.789381
0.0297351, 0.789567
0.0297219, 0.789753
0.0297088, 0.789056
0.0296957, 0.78836
0.0296826, 0.787665
0.0296695, 0.787852
0.0296565, 0.788039
0.0296435, 0.788225
0.0296304, 0.787533
0.0296174, 0.787719
0.0296045, 0.787905
0.0295915, 0.788091
0.0295786, 0.788276
0.0295656, 0.788462
0.0295527, 0.788646
0.0295398, 0.788831
0.0295269, 0.789015
0.0295141, 0.789199
0.0295012, 0.789382
0.0294884, 0.789565
0.0294756, 0.789748
0.0294628, 0.789931
0.02945, 0.790113
0.0294372, 0.790295
0.0294245, 0.790476
0.0294118, 0.790657
0.0293991, 0.790838
0.0293864, 0.791019
0.0293737, 0.791199
0.029361, 0.791379
0.0293484, 0.791559
0.0293357, 0.790878
0.0293231, 0.790198
0.0293105, 0.790378
0.0292979, 0.790558
0.0292854, 0.78988
0.0292728, 0.79006
0.0292603, 0.789384
0.0292478, 0.789564
0.0292353, 0.789744
0.0292228, 0.789923
0.0292103, 0.790102
0.0291979, 0.790281
0.0291854, 0.79046
0.029173, 0.790638
0.0291606, 0.790816
0.0291482, 0.790994
0.0291358, 0.791171
0.0291235, 0.791349
0.0291111, 0.791525
0.0290988, 0.791702
0.0290865, 0.791032
0.0290742, 0.791209
